Date,Site,Sex,Weight,TailBreak
4/27/90,WELL,.,.,.
4/27/90,EAST,.,.,.
4/27/90,WEST,.,.,.
5/21/90,CALI,.,.,.
5/21/90,GRAV,F,17,W
5/21/90,SAND,F,25,W
5/21/90,SAND,.,.,.
5/21/90,BASN,M,16,W
5/21/90,IBPE,.,.,.
5/21/90,IBPE,.,.,.
5/21/90,RABB,.,.,.
5/21/90,RABB,F,21,W
5/21/90,RABB,M,28,W
5/21/90,WELL,M,.,.
5/21/90,EAST,M,25,W
5/21/90,EAST,M,19,W
5/21/90,WEST,F,25,B
5/24/90,CALI,.,.,.
5/24/90,GRAV,.,.,.
5/24/90,SAND,.,.,.
5/24/90,SAND,.,.,.
5/24/90,BASN,.,.,.
5/24/90,IBPE,F,4,W
5/24/90,IBPE,.,.,.
5/24/90,RABB,.,.,.
5/24/90,RABB,.,.,.
5/24/90,WELL,F,4,W
5/24/90,WELL,.,.,.
5/24/90,EAST,M,19,W
5/24/90,EAST,F,33,W
5/24/90,WEST,F,19,W
5/28/90,CALI,F,29,B
5/28/90,CALI,M,4,W
5/28/90,GRAV,.,.,.
5/28/90,SAND,M,28,B
5/28/90,SAND,F,10,W
5/28/90,BASN,F,3,W
5/28/90,IBPE,.,.,.
5/28/90,IBPE,F,19,W
5/28/90,IBPE,F,19,W
5/28/90,RABB,.,.,.
5/28/90,RABB,.,.,.
5/28/90,WELL,.,.,.
5/28/90,EAST,F,25,W
5/28/90,EAST,F,5,W
5/28/90,WEST,F,11,W
6/1/90,CALI,M,28,B
6/1/90,CALI,M,26,W
6/1/90,CALI,F,22,B
6/1/90,GRAV,.,.,.
6/1/90,SAND,M,4,W
6/1/90,SAND,F,24,W
6/1/90,SAND,F,5,W
6/1/90,SAND,M,28,W
6/1/90,BASN,F,17,B
6/1/90,BASN,M,5,B
6/1/90,IBPE,J,3,B
6/1/90,IBPE,F,24,W
6/1/90,IBPE,.,.,.
6/1/90,RABB,F,15,W
6/1/90,RABB,F,5,W
6/1/90,WELL,F,3,W
6/1/90,EAST,F,24,B
6/1/90,WEST,.,.,.
6/19/90,CALI,F,4,W
6/19/90,CALI,F,26,W
6/19/90,SAND,F,24,W
6/19/90,SAND,J,1,W
6/19/90,IBPE,F,3,W
6/19/90,IBPE,M,4,B
6/19/90,RABB,M,27,W
6/19/90,RABB,F,12,W
6/19/90,EAST,F,11,B
6/19/90,WEST,M,19,W
6/22/90,SAND,M,.,.
6/22/90,SAND,J,.,.
6/22/90,SAND,J,.,.
6/22/90,IBPE,F,3,W
6/22/90,RABB,F,4,W
6/22/90,RABB,M,13,W
6/22/90,RABB,F,11,W
6/22/90,WELL,M,.,.
6/22/90,EAST,.,.,.
6/22/90,WEST,F,32,W
6/25/90,WEST,.,.,.
6/26/90,GRAV,J,.,W
6/26/90,SAND,J,.,W
6/26/90,SAND,J,.,W
6/26/90,SAND,J,.,W
6/26/90,SAND,F,4,B
6/26/90,SAND,M,25,B
6/26/90,SAND,J,.,W
